StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2a#1_1_1,Q2a#1_1_2,Q2a#1_2_1,Q2a#1_2_2,Q2a#1_3_1,Q2a#1_3_2,Q2a#1_4_1,Q2a#1_4_2,Q2a#1_5_1,Q2a#1_5_2,Q2a#1_6_1,Q2a#1_6_2,Q2a#1_7_1,Q2a#1_7_2,Q2a#1_8_1,Q2a#1_8_2,Q2a#1_9_1,Q2a#1_9_2,Q2a#1_10_1,Q2a#1_10_2,Q2a#1_11_1,Q2a#1_11_2,Q2,Q3,Q4
8/25/2021 20:42,8/25/2021 20:46,0,152.3.34.111,100,260,1,8/25/2021 20:46,R_3JabG14MSdt5DfD,,,,,36.02290344,-78.9464035,anonymous,EN,155,,2,,2,1,1,1,1,,2,,2,1,1,,2,1,1,1,1,5,15,10,20,0.5
8/25/2021 20:43,8/25/2021 20:46,0,152.3.34.111,100,195,1,8/25/2021 20:46,R_ZdHJNex4mHXaCOZ,,,,,36.02290344,-78.9464035,anonymous,EN,168,,2,,2,1,1,,2,1,1,,2,1,1,,2,,2,1,1,4,16,-12,20,-0.6
8/25/2021 20:42,8/25/2021 20:46,0,119.181.5.176,100,297,1,8/25/2021 20:46,R_tR2VCxcHkCaavZv,,,,,31.04420471,121.4053955,anonymous,EN,171,,2,,2,1,1,,2,,2,,2,1,1,,2,,2,1,1,3,17,-15,20,-0.75
8/25/2021 20:42,8/25/2021 20:47,0,27.58.182.131,100,330,1,8/25/2021 20:47,R_1pExpqLw3OCfNVA,,,,,26.95249939,75.710495,anonymous,EN,173,,2,,2,1,1,,2,,1,,2,,1,,2,,1,,1,1,15,-14,16,-0.875
8/25/2021 20:42,8/25/2021 20:47,0,152.3.34.111,100,329,1,8/25/2021 20:47,R_3IYOiY02yMVpzJP,,,,,36.02290344,-78.9464035,anonymous,EN,162,1,1,2,,1,1,1,1,2,0,2,,2,,2,,2,,2,,17,3,14,20,0.7
8/25/2021 20:44,8/25/2021 20:47,0,152.3.34.111,100,199,1,8/25/2021 20:47,R_xtjn4GcDe5UPZC1,,,,,36.02290344,-78.9464035,anonymous,EN,170,,2,1,1,1,1,,2,1,1,,2,,2,2,,,2,1,1,6,14,-8,20,-0.4
8/25/2021 20:42,8/25/2021 20:47,0,112.65.29.148,100,297,1,8/25/2021 20:47,R_26o3L6GqTqYwIR6,,,,,31.24650574,121.491394,anonymous,EN,182,,2,,2,1,2,,2,,2,,2,,2,,2,,2,,2,1,20,-20,20,-1
8/25/2021 20:44,8/25/2021 20:48,0,152.3.34.111,100,202,1,8/25/2021 20:48,R_1pu6gpWZsUuPVJ8,,,,,36.02290344,-78.9464035,anonymous,EN,160,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,20,-20,20,-1
8/25/2021 20:44,8/25/2021 20:48,0,152.3.34.111,100,201,1,8/25/2021 20:48,R_b7WdeRCYK7ywLgl,,,,,36.02290344,-78.9464035,anonymous,EN,,,1,,1,,1,1,1,1,1,1,,,1,,1,,1,1,1,4,9,-5,13,-0.38
8/25/2021 20:41,8/25/2021 20:48,0,152.3.34.111,100,378,1,8/25/2021 20:48,R_1dHyzzsdIB3bD3F,,,,,36.02290344,-78.9464035,anonymous,EN,178,,2,,1,,1,1,1,1,1,,1,,1,,2,,1,,1,,1,-11,15,-0.73
8/25/2021 20:43,8/25/2021 20:48,0,24.136.55.38,100,343,1,8/25/2021 20:48,R_9N1jhxWlFwjJeI9,,,,,29.64750671,-82.40399933,anonymous,EN,180,,2,,2,1,1,,2,,2,,2,,2,,2,1,1,,2,2,18,-16,20,-0.8
8/25/2021 20:44,8/25/2021 20:49,0,152.3.34.111,100,345,1,8/25/2021 20:49,R_1P5HhGmSNRBPyrw,,,,,36.02290344,-78.9464035,anonymous,EN,161,,1,1,1,1,1,2,,1,1,1,1,1,1,2,,1,1,1,1,10,8,2,18,0.1111111
8/25/2021 20:45,8/25/2021 20:49,0,1.25.208.135,100,275,1,8/25/2021 20:49,R_3ehrJj7ivNxnWZS,,,,,40.65989685,109.8230896,anonymous,EN,172,,2,,2,,1,,2,,2,,2,1,1,,2,,1,1,1,2,14,-12,16,-0.75
8/25/2021 20:44,8/25/2021 20:50,0,152.3.34.111,100,326,1,8/25/2021 20:50,R_1pmWXt3DWuEoKi2,,,,,36.02290344,-78.9464035,anonymous,EN,161,,2,,2,,2,,2,1,1,,2,1,1,,2,,2,,2,2,18,-16,20,-0.8
8/25/2021 20:44,8/25/2021 20:50,0,152.3.34.111,100,329,1,8/25/2021 20:50,R_21G0nD6EQZ2N259,,,,,36.02290344,-78.9464035,anonymous,EN,184,,2,,2,,2,,2,,2,,2,,1,,2,,1,,1,,17,-17,17,-1
