,exp,wks,bluecol,ind,south,smsa,married,sex,union,ed,black,lwage,wage
230,19,50,no,0,no,yes,yes,male,no,16,no,7.37776,1600.001747
231,20,49,no,0,no,yes,yes,male,no,16,no,7.46737,1749.998133
232,45,48,yes,0,yes,no,yes,male,no,8,no,5.7589,316.9994377
233,46,48,yes,0,yes,no,yes,male,no,8,no,5.86079,351.0013256
234,47,48,yes,0,yes,no,yes,male,no,8,no,5.82305,338.0013873
235,48,49,yes,0,yes,no,yes,male,no,8,no,5.94803,382.9980891
236,49,50,yes,0,yes,no,yes,male,no,8,no,6.24804,516.9985139
237,50,48,yes,0,yes,no,yes,male,no,8,no,6.20658,496.0020203
238,51,46,yes,0,yes,no,yes,male,no,8,no,5.98394,397.0014766
239,8,30,yes,0,no,yes,yes,male,yes,13,yes,6.51471,674.9981837
240,9,49,yes,1,no,yes,yes,male,yes,13,yes,6.6107,743.0029388
241,10,48,yes,1,no,yes,yes,male,yes,13,yes,6.39693,600.0002069
242,11,49,yes,1,no,yes,yes,male,yes,13,yes,6.75227,855.999678
243,12,34,yes,1,no,yes,yes,male,yes,13,yes,6.88653,978.998392
244,13,48,yes,1,no,yes,yes,male,yes,13,yes,7.01212,1110.005223
245,14,45,yes,1,no,yes,yes,male,yes,13,yes,7.02554,1125.001896
246,15,52,yes,0,yes,yes,yes,male,no,10,no,6.62007,749.9975951
247,16,47,no,0,yes,yes,yes,male,no,10,no,6.77422,874.9965994
248,17,50,no,0,yes,no,yes,male,no,10,no,7.1309,1250.001462
249,18,50,no,0,yes,no,yes,male,no,10,no,7.08841,1198.001463
250,19,48,no,0,yes,yes,yes,male,no,10,no,7.1309,1250.001462
251,20,50,no,0,yes,yes,yes,male,no,10,no,6.90776,1000.004721
252,21,41,no,0,yes,yes,yes,male,no,10,no,7.18007,1313.000165
253,12,52,no,0,no,yes,yes,male,no,14,no,6.90575,997.9967302
254,13,47,no,0,no,yes,yes,male,no,14,no,6.7417,846.9994116
255,14,50,no,0,no,yes,yes,male,no,14,no,7.00307,1100.004995
256,15,49,no,0,no,yes,yes,male,no,14,no,7.1309,1250.001462
257,16,50,no,0,no,yes,yes,male,no,14,no,7.14283,1265.003288
258,17,48,no,0,no,yes,yes,male,no,14,no,7.28276,1454.998284
259,18,49,no,0,no,yes,no,male,no,14,no,7.40914,1651.005871
260,10,48,yes,1,no,no,yes,male,yes,12,no,6.05209,425.0003532
261,11,49,yes,1,no,no,yes,male,yes,12,no,6.05209,425.0003532
262,12,48,yes,1,no,no,yes,male,yes,12,no,6.05209,425.0003532
263,13,48,yes,1,no,no,yes,male,yes,12,no,6.36819,583.0016404
264,14,49,yes,1,no,no,yes,male,yes,12,no,6.43615,623.9997701
265,15,48,no,1,no,no,yes,male,yes,12,no,6.54965,698.9994812
266,16,49,yes,1,no,no,yes,male,yes,12,no,6.52209,679.9980972
267,6,47,no,0,no,yes,yes,male,no,13,no,6.47697,649.9984641
268,7,51,no,0,no,yes,no,male,no,13,no,6.58617,724.9988002
269,8,48,no,0,no,yes,no,male,no,13,no,6.47697,649.9984641
270,9,50,no,0,no,yes,no,male,no,13,no,6.52942,685.0007958
271,10,50,no,0,no,yes,no,male,no,13,no,6.80239,899.995713
272,11,52,no,0,no,yes,no,male,no,13,no,6.77992,879.9983214
273,12,51,no,0,no,yes,yes,male,no,13,no,6.80793,904.995526
274,30,47,no,0,yes,no,yes,male,yes,8,no,6.35784,576.9986922
275,31,39,no,0,yes,no,yes,male,yes,8,no,6.49979,665.001968
276,32,32,no,0,yes,no,yes,male,yes,8,no,6.58203,722.0035097
277,33,35,no,0,yes,no,yes,male,yes,8,no,6.69456,807.9983367
278,34,47,no,0,yes,no,yes,male,yes,8,no,6.78784,886.9955807
279,35,45,no,0,yes,no,yes,male,yes,8,no,6.90776,1000.004721
280,36,47,no,0,yes,no,yes,male,yes,8,no,7.35819,1568.994112
281,20,50,no,0,yes,yes,yes,male,no,16,no,6.90575,997.9967302
282,21,50,no,0,yes,yes,yes,male,no,16,no,6.90575,997.9967302
283,22,50,no,0,yes,yes,yes,male,no,16,no,7.37776,1600.001747
284,23,50,no,0,yes,yes,yes,male,no,16,no,7.49109,1792.004312
285,24,50,no,0,yes,yes,yes,male,no,16,no,7.57558,1949.990929
286,25,48,no,0,yes,yes,yes,male,no,16,no,7.52833,1859.996714
287,26,47,no,0,yes,yes,yes,male,no,16,no,7.745,2309.993524
288,30,38,yes,1,no,yes,no,female,yes,12,yes,6.2186,501.9999399
289,31,41,yes,0,no,yes,no,female,yes,12,yes,6.49375,660.9974619
290,32,51,yes,0,no,yes,no,female,yes,12,yes,6.58064,721.000622
291,33,50,yes,1,no,yes,no,female,yes,12,yes,6.6896,804.0005876
292,34,42,yes,1,no,yes,no,female,yes,12,yes,6.79347,892.0034497
293,35,50,yes,1,no,yes,no,female,yes,12,yes,6.92461,1016.997563
294,36,49,yes,1,no,yes,no,female,yes,12,yes,7.02554,1125.001896
295,5,49,no,0,no,yes,yes,male,no,16,no,6.68461,799.9986179
296,6,47,no,0,no,yes,yes,male,no,16,no,6.84375,938.0000478
297,7,48,no,0,no,yes,yes,male,no,16,no,6.90776,1000.004721
298,8,49,no,0,no,yes,yes,male,no,16,no,7.00307,1100.004995
299,9,46,no,0,no,yes,yes,male,no,16,no,7.1309,1250.001462
300,10,45,no,0,no,yes,yes,male,no,16,no,7.40853,1649.999065
301,11,49,no,0,no,yes,yes,male,no,16,no,7.43838,1699.993999
302,7,48,no,1,no,yes,yes,male,no,17,no,6.90575,997.9967302
303,8,48,no,1,no,yes,yes,male,no,17,no,6.90575,997.9967302
304,9,48,no,1,no,yes,yes,male,no,17,no,7.20786,1350.000174
305,10,47,no,1,no,yes,yes,male,no,17,no,7.31322,1499.999419
306,11,46,no,1,no,yes,yes,male,no,17,no,7.43838,1699.993999
307,12,46,no,1,no,yes,yes,male,no,17,no,7.49332,1796.004941
308,13,46,no,1,no,yes,yes,male,no,17,no,7.6009,1999.995081
309,13,49,no,0,no,yes,no,female,no,13,no,6.22456,505.0007932
310,14,50,no,0,no,yes,no,female,no,13,no,6.33328,563.0002094
311,15,50,no,0,no,yes,no,female,no,13,no,6.30992,550.000947
312,16,50,no,0,no,yes,no,female,no,13,no,6.47697,649.9984641
313,17,50,no,0,no,yes,no,female,no,13,no,6.63332,760.0011907
314,18,50,no,0,no,yes,no,female,no,13,no,6.68211,798.0011192
315,19,49,no,0,no,yes,no,female,no,13,no,6.65286,774.9976523
316,6,42,yes,0,no,no,yes,male,yes,12,no,6.12687,458.0003737
317,7,44,yes,0,no,no,yes,male,yes,12,no,6.23245,509.0010096
318,8,48,yes,0,no,no,yes,male,yes,12,no,6.32615,559.0002945
319,9,47,yes,0,no,no,yes,male,yes,12,no,6.32436,558.000579
320,10,48,yes,0,no,no,yes,male,yes,12,no,6.4677,644.0008204
321,11,47,no,0,no,no,yes,male,yes,12,no,6.60665,739.9998622
322,12,47,yes,0,no,no,yes,male,yes,12,no,6.55108,699.9997655
323,26,48,no,0,no,yes,yes,male,no,14,no,6.90575,997.9967302
324,27,49,no,0,no,yes,yes,male,no,14,no,6.90575,997.9967302
325,28,48,no,0,no,yes,yes,male,no,14,no,7.04752,1150.003195
326,29,48,no,0,no,yes,yes,male,no,14,no,7.09008,1200.003797
327,30,48,no,0,no,yes,yes,male,no,14,no,7.20786,1350.000174
328,31,47,no,0,no,yes,yes,male,no,14,no,7.11802,1234.004684
329,32,48,no,0,no,yes,yes,male,no,14,no,7.09008,1200.003797
330,26,50,no,1,no,yes,no,male,no,16,no,6.90575,997.9967302
331,27,50,no,1,no,yes,no,male,no,16,no,6.90575,997.9967302
332,28,50,no,1,no,yes,no,male,no,16,no,7.1309,1250.001462
333,29,50,no,1,no,yes,no,male,no,16,no,7.22621,1375.001361
334,30,48,no,1,no,yes,yes,male,no,16,no,7.1309,1250.001462
335,31,41,no,1,no,yes,yes,male,no,16,no,7.31322,1499.999419
336,32,49,no,1,no,yes,no,male,no,16,no,7.43838,1699.993999
337,31,47,no,1,no,no,yes,male,no,16,no,6.90575,997.9967302
338,32,46,no,1,no,no,yes,male,no,16,no,6.90575,997.9967302
339,33,47,no,1,no,no,yes,male,no,16,no,7.6009,1999.995081
340,34,48,no,1,no,no,yes,male,no,16,no,7.67601,2156.000147
341,35,47,no,1,no,no,yes,male,no,16,no,7.7021,2212.990395
342,36,49,no,1,no,no,yes,male,no,16,no,7.69621,2199.994193
343,37,48,no,1,no,no,yes,male,no,16,no,7.82084,2491.997807
344,31,50,no,0,no,yes,no,female,yes,12,no,6.27099,529.0008295
345,32,45,no,0,no,yes,no,female,yes,12,no,6.39859,600.9970344
346,33,43,no,0,no,yes,no,female,yes,12,no,6.48311,654.0017321
347,34,48,no,0,no,yes,no,female,yes,12,no,6.55678,704.0011573
348,35,46,no,0,no,yes,no,female,yes,12,no,6.65544,776.9997278
349,36,32,no,0,no,yes,no,female,yes,12,no,6.74876,853.000386
350,37,28,no,0,no,yes,no,female,yes,12,no,6.84907,943.0035055
351,31,45,no,1,no,yes,yes,male,no,17,no,6.90575,997.9967302
352,32,48,no,1,no,yes,yes,male,no,17,no,6.90575,997.9967302
353,33,48,no,1,no,yes,yes,male,no,17,no,7.6009,1999.995081
354,34,47,no,0,no,yes,yes,male,no,17,no,7.64969,2099.99449
355,35,48,no,1,no,yes,yes,male,no,17,no,7.82405,2500.009973
356,36,47,no,1,no,yes,yes,male,no,17,no,7.86327,2600.008518
357,37,44,no,1,no,yes,yes,male,no,17,no,7.91936,2750.010476
358,25,46,no,0,no,yes,yes,male,no,16,no,6.90575,997.9967302
359,26,49,no,0,no,yes,yes,male,no,16,no,6.90575,997.9967302
360,27,49,no,0,no,yes,yes,male,no,16,no,7.24423,1400.003478
361,28,48,no,0,no,yes,yes,male,no,16,no,7.1309,1250.001462
362,29,48,no,0,no,yes,yes,male,no,16,no,7.46737,1749.998133
363,30,48,no,0,no,yes,yes,male,no,16,no,7.6009,1999.995081
364,31,49,no,0,no,yes,yes,male,yes,16,no,7.64969,2099.99449
365,13,47,no,0,yes,no,yes,male,no,13,no,6.43615,623.9997701
366,14,49,no,0,yes,no,yes,male,no,13,no,6.90575,997.9967302
367,15,48,yes,0,no,no,yes,male,no,13,no,6.95655,1050.004785
368,16,49,yes,0,no,no,yes,male,no,13,no,6.95655,1050.004785
369,17,48,no,0,no,no,yes,male,no,13,no,7.06048,1165.004234
370,18,47,yes,0,no,no,yes,male,no,13,no,7.20786,1350.000174
371,19,48,no,0,no,no,yes,male,no,13,no,7.20786,1350.000174
372,13,47,yes,1,no,no,yes,male,yes,11,no,6.51175,673.0031432
